fullName,season,rel_batting_impact_score,rel_bowling_impact_score
Corey Anderson,2018,23.23,7.99
D'Arcy Short,2018,11.74,7.92
Dale Steyn,2009,0.65,15.05
Dale Steyn,2010,0.0,9.72
Dale Steyn,2011,2.12,24.35
Dale Steyn,2012,7.02,42.09
Dale Steyn,2013,4.6,66.59
Dale Steyn,2014,9.5,61.72
Dale Steyn,2015,14.44,52.41
Dale Steyn,2016,14.22,47.6
Dale Steyn,2019,11.86,60.62
Dale Steyn,2020,9.5,83.9
Damien Martyn,2010,14.64,0.0
Dan Christian,2021,1.3,4.67
Daniel Christian,2011,8.15,9.24
Daniel Christian,2012,18.55,19.42
Daniel Christian,2013,34.57,32.61
Daniel Christian,2017,26.7,28.66
Daniel Christian,2018,24.59,40.11
Daniel Harris,2012,21.72,0.0
Daniel Sams,2020,1.49,7.29
Daniel Sams,2021,0.0,0.0
Daniel Sams,2022,1.98,7.74
Daniel Vettori,2009,0.0,14.88
Daniel Vettori,2010,8.22,12.71
Daniel Vettori,2011,16.95,7.93
Daniel Vettori,2012,12.84,23.19
Daren Sammy,2013,9.24,5.26
Daren Sammy,2014,24.06,17.67
Daren Sammy,2015,17.73,8.62
Darren Bravo,2017,3.75,0.0
Darshan Nalkande,2022,0.0,8.68
Daryl Mitchell,2022,12.54,0.0
David Hussey,2009,18.92,4.06
David Hussey,2010,17.55,0.0
David Hussey,2011,11.89,0.0
David Hussey,2012,5.52,3.96
David Hussey,2013,26.26,11.07
David Hussey,2014,21.67,3.96
David Miller,2012,17.04,0.0
David Miller,2013,12.75,0.0
David Miller,2014,42.39,0.0
David Miller,2015,35.36,0.0
David Miller,2016,34.03,0.0
David Miller,2017,21.52,0.0
David Miller,2018,37.92,0.0
David Miller,2019,58.18,0.0
David Miller,2020,53.99,0.0
David Miller,2021,37.92,0.0
David Miller,2022,49.78,0.0
David Warner,2009,28.98,0.0
David Warner,2010,17.35,0.0
David Warner,2011,36.45,0.0
David Warner,2012,36.24,0.0
David Warner,2013,60.62,0.0
David Warner,2014,56.23,0.0
David Warner,2015,87.84,0.0
David Warner,2016,119.89,0.0
David Warner,2017,163.37,0.0
David Warner,2019,148.87,0.0
David Warner,2020,202.18,0.0
David Warner,2021,176.6,0.0
David Warner,2022,167.64,0.0
David Wiese,2015,8.2,7.62
David Wiese,2016,21.47,22.87
David Willey,2018,3.23,5.4
David Willey,2022,6.46,10.8
Davy Jacobs,2011,5.5,0.0
Davy Jacobs,2012,16.5,0.0
Dawid Malan,2021,20.54,0.0
Debabrata Das,2012,10.57,0.0
Debabrata Das,2013,10.32,0.0
Deepak Chahar,2016,3.74,9.18
Deepak Chahar,2017,0.0,0.0
Deepak Chahar,2018,9.3,3.22
Deepak Chahar,2019,8.56,14.67
Deepak Chahar,2020,2.3,31.97
Deepak Chahar,2021,1.64,25.81
Deepak Hooda,2015,12.37,3.45
Deepak Hooda,2016,11.62,1.69
Deepak Hooda,2017,6.54,8.45
Deepak Hooda,2018,16.08,8.01
Deepak Hooda,2019,14.74,1.69
Deepak Hooda,2020,12.84,6.43
Deepak Hooda,2021,34.42,1.69
Deepak Hooda,2022,23.01,5.12
Devdutt Padikkal,2020,21.37,0.0
Devdutt Padikkal,2021,46.13,0.0
Devdutt Padikkal,2022,44.33,0.0
Devon Conway,2022,28.91,0.0
Dewald Brevis,2022,16.62,3.75
Dhawal Kulkarni,2009,1.28,13.63
Dhawal Kulkarni,2010,3.32,7.8
Dhawal Kulkarni,2011,1.28,17.88
Dhawal Kulkarni,2012,2.56,29.08
