fullName,season,balls_bowled,conceded,wickets,MatchPlayed,4W_haul,5W_haul,dots,foursConceded,sixesConceded,wides,noballs,maidens,total_overs_bowled,economy,Bowling_strike_rate,average,Bowling_Quality,Bowling_Frequency,Bowling_Player_Impact,4W_factor,5W_factor,Bowling_Impact_Score
Shreyas Gopal,2020,300.0,427,10,14,0,0,86,30,19,5,0,0,50.0,8.54,30.0,42.7,0.39,21.43,8.36,0.0,0.0,8.36
Shreyas Gopal,2021,42.0,84,0,3,0,0,11,7,6,0,0,0,7.0,12.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Shreyas Gopal,2022,18.0,34,1,1,0,0,7,1,4,0,0,0,3.0,11.33,18.0,34.0,0.49,18.0,8.82,0.0,0.0,8.82
Shreyas Iyer,2022,6.0,7,0,1,0,0,4,0,1,0,0,0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Shrikant Mundhe,2011,6.0,6,1,1,0,0,4,1,0,1,0,0,1.0,6.0,6.0,6.0,2.78,6.0,16.68,0.0,0.0,16.68
Shrikant Wagh,2010,6.0,16,1,1,0,0,2,4,0,0,0,0,1.0,16.0,6.0,16.0,1.04,6.0,6.24,0.0,0.0,6.24
Shrikant Wagh,2011,96.0,121,4,7,0,0,48,17,2,6,0,0,16.0,7.56,24.0,30.25,0.55,13.71,7.54,0.0,0.0,7.54
Shubham Agarwal,2017,24.0,42,1,1,0,0,7,3,3,0,0,0,4.0,10.5,24.0,42.0,0.4,24.0,9.6,0.0,0.0,9.6
Siddarth Kaul,2013,131.0,170,4,6,0,0,46,17,4,2,0,2,21.5,7.91,32.75,42.5,0.39,21.83,8.51,0.0,0.0,8.51
Siddarth Kaul,2014,78.0,126,2,5,0,0,27,12,5,4,0,0,13.0,9.69,39.0,63.0,0.26,15.6,4.06,0.0,0.0,4.06
Siddarth Kaul,2017,214.0,300,16,10,1,0,68,21,13,6,1,0,35.4,8.47,13.38,18.75,0.88,21.4,18.83,0.1,0.0,19.77
Siddarth Kaul,2018,396.0,547,21,17,0,0,131,61,14,5,1,0,66.0,8.29,18.86,26.05,0.64,23.29,14.91,0.0,0.0,14.91
Siddarth Kaul,2019,162.0,242,6,7,0,0,56,15,15,5,2,0,27.0,8.96,27.0,40.33,0.41,23.14,9.49,0.0,0.0,9.49
Siddarth Kaul,2020,24.0,64,2,1,0,0,6,9,3,1,1,0,4.0,16.0,12.0,32.0,0.52,24.0,12.48,0.0,0.0,12.48
Siddarth Kaul,2021,180.0,247,7,8,0,0,70,26,9,0,1,1,30.0,8.23,25.71,35.29,0.47,22.5,10.58,0.0,0.0,10.58
Siddarth Kaul,2022,24.0,43,0,1,0,0,6,5,2,0,0,0,4.0,10.75,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
Siddharth Chitnis,2008,36.0,60,2,2,0,0,11,4,3,2,0,0,6.0,10.0,18.0,30.0,0.56,18.0,10.08,0.0,0.0,10.08
Siddharth Trivedi,2008,288.0,399,13,15,0,0,108,32,17,11,1,0,48.0,8.31,22.15,30.69,0.54,19.2,10.37,0.0,0.0,10.37
Siddharth Trivedi,2009,120.0,152,6,7,0,0,43,16,3,2,1,0,20.0,7.6,20.0,25.33,0.66,17.14,11.31,0.0,0.0,11.31
Siddharth Trivedi,2010,213.0,260,11,10,0,0,75,21,7,4,1,0,35.3,7.37,19.36,23.64,0.7,21.3,14.91,0.0,0.0,14.91
Siddharth Trivedi,2011,214.0,303,10,12,0,0,70,28,8,7,3,0,35.4,8.56,21.4,30.3,0.55,17.83,9.81,0.0,0.0,9.81
Siddharth Trivedi,2012,312.0,380,13,14,1,0,97,25,9,9,3,1,52.0,7.31,24.0,29.23,0.57,22.29,12.71,0.07,0.0,13.15
Siddharth Trivedi,2013,359.0,410,12,17,0,0,135,32,7,9,0,1,59.5,6.89,29.92,34.17,0.49,21.12,10.35,0.0,0.0,10.35
Simarjeet Singh,2022,108.0,138,4,6,0,0,57,17,4,4,1,0,18.0,7.67,27.0,34.5,0.48,18.0,8.64,0.0,0.0,8.64
Sohail Tanvir,2008,247.0,266,22,11,1,0,130,27,7,17,1,0,41.1,6.47,11.23,12.09,1.38,22.45,30.98,0.09,0.0,32.37
Sourav Ganguly,2008,120.0,128,6,7,0,0,50,9,5,1,0,0,20.0,6.4,20.0,21.33,0.78,17.14,13.37,0.0,0.0,13.37
Sourav Ganguly,2009,72.0,97,2,6,0,0,18,6,3,1,0,0,12.0,8.08,36.0,48.5,0.34,12.0,4.08,0.0,0.0,4.08
Sourav Ganguly,2010,24.0,43,0,3,0,0,2,3,2,1,0,0,4.0,10.75,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Sourav Ganguly,2012,60.0,95,2,4,0,0,12,7,4,0,1,0,10.0,9.5,30.0,47.5,0.35,15.0,5.25,0.0,0.0,5.25
Sourav Sarkar,2009,25.0,34,1,2,0,0,4,4,0,0,0,0,4.1,8.29,25.0,34.0,0.48,12.5,6.0,0.0,0.0,6.0
Sreenath Aravind,2011,276.0,368,21,13,1,0,121,33,16,12,0,0,46.0,8.0,13.14,17.52,0.95,21.23,20.17,0.08,0.0,20.98
Sreenath Aravind,2012,18.0,48,0,1,0,0,5,10,1,0,0,0,3.0,16.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Sreenath Aravind,2015,108.0,132,8,5,1,0,47,15,3,2,0,0,18.0,7.33,13.5,16.5,1.01,21.6,21.82,0.2,0.0,24.0
Sreenath Aravind,2016,175.0,216,11,9,0,0,68,21,6,7,0,0,29.1,7.42,15.91,19.64,0.85,19.44,16.52,0.0,0.0,16.52
Sreenath Aravind,2017,183.0,275,5,10,0,0,61,25,12,6,1,0,30.3,9.08,36.6,55.0,0.3,18.3,5.49,0.0,0.0,5.49
Sreesanth,2008,307.0,442,19,15,0,0,138,53,11,21,4,0,51.1,8.65,16.16,23.26,0.72,20.47,14.74,0.0,0.0,14.74
Sreesanth,2009,138.0,192,6,7,0,0,63,17,9,4,3,0,23.0,8.35,23.0,32.0,0.52,19.71,10.25,0.0,0.0,10.25
Sreesanth,2010,114.0,191,3,6,0,0,44,19,7,7,7,0,19.0,10.05,38.0,63.67,0.26,19.0,4.94,0.0,0.0,4.94
Sreesanth,2011,191.0,206,7,9,0,0,100,21,6,10,5,2,31.5,6.54,27.29,29.43,0.56,21.22,11.88,0.0,0.0,11.88
Sreesanth,2013,130.0,163,5,7,0,0,71,20,6,2,4,2,21.4,7.62,26.0,32.6,0.5,18.57,9.28,0.0,0.0,9.28
Sridharan Sriram,2010,12.0,24,0,1,0,0,2,3,1,0,0,0,2.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Sridharan Sriram,2011,6.0,25,0,1,0,0,0,1,3,0,0,0,1.0,25.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Steven Smith,2012,2.0,5,0,1,0,0,0,1,0,0,0,0,0.2,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
